t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
1,1,EVTOL-01,EC35,31.3003181,120.5975503,199.9,BUSY,M-P-001,V1
1,1,L-UAV-01,AMZN,31.2987615,120.5968395,100.0,BUSY,M-L-001,V3
1,1,M-UAV-01,M600,31.3108767,120.6039862,98.5,AVAILABLE,,
1,1,M-UAV-02,M600,31.2971716,120.5956323,98.5,AVAILABLE,,
2,2,EVTOL-01,EC35,31.3006404,120.5977467,199.9,BUSY,M-P-001,V1
2,2,L-UAV-01,AMZN,31.2988754,120.5969260,100.0,BUSY,M-L-001,V3
2,2,M-UAV-01,M600,31.3108767,120.6039862,95.4,AVAILABLE,,
2,2,M-UAV-02,M600,31.2971716,120.5956323,95.4,AVAILABLE,,
3,3,EVTOL-01,EC35,31.3009628,120.5979431,199.9,BUSY,M-P-001,V1
3,3,L-UAV-01,AMZN,31.2989893,120.5970124,100.0,BUSY,M-L-001,V3
3,3,M-UAV-01,M600,31.3108767,120.6039862,90.8,AVAILABLE,,
3,3,M-UAV-02,M600,31.2971716,120.5956323,90.8,AVAILABLE,,
4,4,EVTOL-01,EC35,31.3012851,120.5981396,199.9,BUSY,M-P-001,V1
4,4,L-UAV-01,AMZN,31.2991032,120.5970989,100.0,BUSY,M-L-001,V3
4,4,M-UAV-01,M600,31.3108767,120.6039862,84.7,AVAILABLE,,
4,4,M-UAV-02,M600,31.2971716,120.5956323,84.7,AVAILABLE,,
5,5,EVTOL-01,EC35,31.3016074,120.5983360,199.9,BUSY,M-P-001,V1
5,5,L-UAV-01,AMZN,31.2992171,120.5971853,100.0,BUSY,M-L-001,V3
5,5,M-UAV-01,M600,31.3108767,120.6039862,77.1,AVAILABLE,,
5,5,M-UAV-02,M600,31.2971716,120.5956323,77.1,AVAILABLE,,
6,6,EVTOL-01,EC35,31.3019297,120.5985325,199.9,BUSY,M-P-001,V1
6,6,L-UAV-01,AMZN,31.2993310,120.5972718,100.0,BUSY,M-L-001,V3
6,6,M-UAV-01,M600,31.3108767,120.6039862,69.5,AVAILABLE,,
6,6,M-UAV-02,M600,31.2971716,120.5956323,69.5,AVAILABLE,,
7,7,EVTOL-01,EC35,31.3022520,120.5987289,199.9,BUSY,M-P-001,V1
7,7,L-UAV-01,AMZN,31.2994448,120.5973582,100.0,BUSY,M-L-001,V3
7,7,M-UAV-01,M600,31.3108767,120.6039862,61.9,AVAILABLE,,
7,7,M-UAV-02,M600,31.2971716,120.5956323,61.9,AVAILABLE,,
8,8,EVTOL-01,EC35,31.3025744,120.5989254,199.9,BUSY,M-P-001,V1
8,8,L-UAV-01,AMZN,31.2995587,120.5974447,100.0,BUSY,M-L-001,V3
8,8,M-UAV-01,M600,31.3108767,120.6039862,54.3,AVAILABLE,,
8,8,M-UAV-02,M600,31.2971716,120.5956323,54.3,AVAILABLE,,
9,9,EVTOL-01,EC35,31.3028967,120.5991218,199.9,BUSY,M-P-001,V1
9,9,L-UAV-01,AMZN,31.2996726,120.5975312,100.0,BUSY,M-L-001,V3
9,9,M-UAV-01,M600,31.3108767,120.6039862,46.6,AVAILABLE,,
9,9,M-UAV-02,M600,31.2971716,120.5956323,46.6,AVAILABLE,,
10,10,EVTOL-01,EC35,31.3032190,120.5993183,199.9,BUSY,M-P-001,V1
10,10,L-UAV-01,AMZN,31.2997865,120.5976176,100.0,BUSY,M-L-001,V3
10,10,M-UAV-01,M600,31.3108767,120.6039862,39.0,AVAILABLE,,
10,10,M-UAV-02,M600,31.2971716,120.5956323,39.0,AVAILABLE,,
11,11,EVTOL-01,EC35,31.3035413,120.5995147,199.9,BUSY,M-P-001,V1
11,11,L-UAV-01,AMZN,31.2999004,120.5977041,100.0,BUSY,M-L-001,V3
11,11,M-UAV-01,M600,31.3108767,120.6039862,31.4,AVAILABLE,,
11,11,M-UAV-02,M600,31.2971716,120.5956323,31.4,AVAILABLE,,
12,12,EVTOL-01,EC35,31.3038636,120.5997112,199.9,BUSY,M-P-001,V1
12,12,L-UAV-01,AMZN,31.3000142,120.5977905,100.0,BUSY,M-L-001,V3
12,12,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
