t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
1,1,EVTOL-01,EC35,31.3001949,120.5974752,199.9,BUSY,M-P-001,V1
1,1,L-UAV-01,AMZN,31.2996743,120.5975325,100.0,BUSY,M-L-001,V3
1,1,M-UAV-01,M600,31.3108767,120.6039862,98.5,AVAILABLE,,
1,1,M-UAV-02,M600,31.2971716,120.5956323,98.5,AVAILABLE,,
2,2,EVTOL-01,EC35,31.3005173,120.5976716,199.9,BUSY,M-P-001,V1
2,2,L-UAV-01,AMZN,31.2997882,120.5976190,100.0,BUSY,M-L-001,V3
2,2,M-UAV-01,M600,31.3108767,120.6039862,95.4,AVAILABLE,,
2,2,M-UAV-02,M600,31.2971716,120.5956323,95.4,AVAILABLE,,
3,3,EVTOL-01,EC35,31.3008396,120.5978681,199.9,BUSY,M-P-001,V1
3,3,L-UAV-01,AMZN,31.2999021,120.5977054,100.0,BUSY,M-L-001,V3
3,3,M-UAV-01,M600,31.3108767,120.6039862,90.8,AVAILABLE,,
3,3,M-UAV-02,M600,31.2971716,120.5956323,90.8,AVAILABLE,,
4,4,EVTOL-01,EC35,31.3011619,120.5980645,199.9,BUSY,M-P-001,V1
4,4,L-UAV-01,AMZN,31.3000160,120.5977919,100.0,BUSY,M-L-001,V3
4,4,M-UAV-01,M600,31.3108767,120.6039862,84.7,AVAILABLE,,
4,4,M-UAV-02,M600,31.2971716,120.5956323,84.7,AVAILABLE,,
5,5,EVTOL-01,EC35,31.3014842,120.5982609,199.9,BUSY,M-P-001,V1
5,5,L-UAV-01,AMZN,31.3001298,120.5978784,100.0,BUSY,M-L-001,V3
5,5,M-UAV-01,M600,31.3108767,120.6039862,77.1,AVAILABLE,,
5,5,M-UAV-02,M600,31.2971716,120.5956323,77.1,AVAILABLE,,
6,6,EVTOL-01,EC35,31.3018065,120.5984574,199.9,BUSY,M-P-001,V1
6,6,L-UAV-01,AMZN,31.3002437,120.5979648,100.0,BUSY,M-L-001,V3
6,6,M-UAV-01,M600,31.3108767,120.6039862,69.5,AVAILABLE,,
6,6,M-UAV-02,M600,31.2971716,120.5956323,69.5,AVAILABLE,,
7,7,EVTOL-01,EC35,31.3021289,120.5986538,199.9,BUSY,M-P-001,V1
7,7,L-UAV-01,AMZN,31.3003576,120.5980513,100.0,BUSY,M-L-001,V3
7,7,M-UAV-01,M600,31.3108767,120.6039862,61.9,AVAILABLE,,
7,7,M-UAV-02,M600,31.2971716,120.5956323,61.9,AVAILABLE,,
8,8,EVTOL-01,EC35,31.3024512,120.5988503,199.9,BUSY,M-P-001,V1
8,8,L-UAV-01,AMZN,31.3004715,120.5981377,100.0,BUSY,M-L-001,V3
8,8,M-UAV-01,M600,31.3108767,120.6039862,54.3,AVAILABLE,,
8,8,M-UAV-02,M600,31.2971716,120.5956323,54.3,AVAILABLE,,
9,9,EVTOL-01,EC35,31.3027735,120.5990467,199.9,BUSY,M-P-001,V1
9,9,L-UAV-01,AMZN,31.3005854,120.5982242,100.0,BUSY,M-L-001,V3
9,9,M-UAV-01,M600,31.3108767,120.6039862,46.6,AVAILABLE,,
9,9,M-UAV-02,M600,31.2971716,120.5956323,46.6,AVAILABLE,,
10,10,EVTOL-01,EC35,31.3030958,120.5992432,199.9,BUSY,M-P-001,V1
10,10,L-UAV-01,AMZN,31.3006993,120.5983106,100.0,BUSY,M-L-001,V3
10,10,M-UAV-01,M600,31.3108767,120.6039862,39.0,AVAILABLE,,
10,10,M-UAV-02,M600,31.2971716,120.5956323,39.0,AVAILABLE,,
11,11,EVTOL-01,EC35,31.3034181,120.5994397,199.9,BUSY,M-P-001,V1
11,11,L-UAV-01,AMZN,31.3008131,120.5983971,100.0,BUSY,M-L-001,V3
11,11,M-UAV-01,M600,31.3108767,120.6039862,31.4,AVAILABLE,,
11,11,M-UAV-02,M600,31.2971716,120.5956323,31.4,AVAILABLE,,
12,12,EVTOL-01,EC35,31.3037404,120.5996361,199.9,BUSY,M-P-001,V1
12,12,L-UAV-01,AMZN,31.3009270,120.5984836,100.0,BUSY,M-L-001,V3
12,12,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
12,12,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
13,13,EVTOL-01,EC35,31.3040628,120.5998326,199.9,BUSY,M-P-001,V1
13,13,L-UAV-01,AMZN,31.3010409,120.5985700,100.0,BUSY,M-L-001,V3
13,13,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
13,13,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
14,14,EVTOL-01,EC35,31.3043851,120.6000290,199.9,BUSY,M-P-001,V1
14,14,L-UAV-01,AMZN,31.3011548,120.5986565,100.0,BUSY,M-L-001,V3
14,14,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
14,14,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
15,15,EVTOL-01,EC35,31.3047074,120.6002255,199.9,BUSY,M-P-001,V1
15,15,L-UAV-01,AMZN,31.3012687,120.5987429,100.0,BUSY,M-L-001,V3
15,15,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
15,15,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
16,16,EVTOL-01,EC35,31.3050297,120.6004220,199.9,BUSY,M-P-001,V1
16,16,L-UAV-01,AMZN,31.3013825,120.5988294,100.0,BUSY,M-L-001,V3
16,16,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
16,16,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
17,17,EVTOL-01,EC35,31.3053520,120.6006184,199.9,BUSY,M-P-001,V1
17,17,L-UAV-01,AMZN,31.3014964,120.5989159,100.0,BUSY,M-L-001,V3
17,17,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
17,17,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
18,18,EVTOL-01,EC35,31.3056743,120.6008149,199.9,BUSY,M-P-001,V1
18,18,L-UAV-01,AMZN,31.3016103,120.5990023,100.0,BUSY,M-L-001,V3
18,18,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
18,18,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
19,19,EVTOL-01,EC35,31.3059967,120.6010113,199.9,BUSY,M-P-001,V1
19,19,L-UAV-01,AMZN,31.3017242,120.5990888,100.0,BUSY,M-L-001,V3
19,19,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
19,19,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
20,20,EVTOL-01,EC35,31.3063190,120.6012078,199.9,BUSY,M-P-001,V1
20,20,L-UAV-01,AMZN,31.3018381,120.5991752,100.0,BUSY,M-L-001,V3
