site,scenario,seed,policy,regime,legal_n,both_modes,air_eta,ground_eta,air_advantage,best_margin,preemption,selected,completion_s,late
A,E1_H_C_high,20240601,B2,C: no timely candidate,2,True,212.823,228.617,15.793999999999983,-32.82300000000001,True,REASSIGN,212,True
A,E1_H_C_high,20240602,B2,C: no timely candidate,2,True,218.806,228.617,9.810999999999979,-38.80600000000001,True,REASSIGN,218,True
A,E1_H_C_high,20240603,B2,C: no timely candidate,2,True,214.725,228.617,13.891999999999996,-34.724999999999994,True,REASSIGN,214,True
A,E1_H_C_high,20240604,B2,C: no timely candidate,2,True,211.42,228.617,17.197000000000003,-31.419999999999987,True,REASSIGN,209,True
A,E1_H_C_high,20240605,B2,C: no timely candidate,2,True,206.903,228.617,21.714,-26.90299999999999,True,REASSIGN,206,True
A,E1_H_C_high,20240606,B2,C: no timely candidate,2,True,207.551,228.617,21.066000000000003,-27.550999999999988,True,REASSIGN,207,True
A,E1_H_C_high,20240607,B2,C: no timely candidate,2,True,200.593,228.617,28.024,-20.59299999999999,True,REASSIGN,200,True
A,E1_H_C_high,20240608,B2,C: no timely candidate,2,True,206.311,228.617,22.305999999999983,-26.311000000000007,True,REASSIGN,205,True
A,E1_H_C_high,20240609,B2,C: no timely candidate,2,True,224.773,228.617,3.843999999999994,-44.772999999999996,True,GROUND_FALLBACK,229,True
A,E1_H_C_high,20240610,B2,C: no timely candidate,2,True,223.498,228.617,5.119,-43.49799999999999,True,GROUND_FALLBACK,229,True
A,E1_H_C_high,20240611,B2,C: no timely candidate,2,True,204.708,228.617,23.908999999999992,-24.708,True,REASSIGN,204,True
A,E1_H_C_high,20240612,B2,C: no timely candidate,2,True,223.629,228.617,4.9879999999999995,-43.62899999999999,True,GROUND_FALLBACK,229,True
A,E1_H_C_high,20240613,B2,C: no timely candidate,2,True,207.259,228.617,21.358000000000004,-27.258999999999986,True,REASSIGN,206,True
A,E1_H_C_high,20240614,B2,C: no timely candidate,2,True,225.523,228.617,3.093999999999994,-45.522999999999996,True,GROUND_FALLBACK,229,True
A,E1_H_C_high,20240615,B2,C: no timely candidate,2,True,225.524,228.617,3.0929999999999893,-45.524,True,GROUND_FALLBACK,229,True
A,E1_H_C_high,20240616,B2,C: no timely candidate,2,True,220.232,228.617,8.384999999999991,-40.232,True,REASSIGN,210,True
A,E1_H_C_high,20240617,B2,C: no timely candidate,2,True,223.025,228.617,5.5919999999999845,-43.025000000000006,True,GROUND_FALLBACK,229,True
