site,scenario,level,seed,policy,horizon_s,eligible_tasks,completed,overdue_en_route,overdue_assigned,run,registry_sha256
A,E3_L1_F1_C2,L1,20240601,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240601/B0,31cf6de6c723812825a7e89c188b195a6affdef15c150d89b7a41f7916b2c787
A,E3_L1_F1_C2,L1,20240601,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240601/B1,2bd5ac12ce609aa2c74ffaaee1661def7ee08e93d98805a426032cd23ab493c7
A,E3_L1_F1_C2,L1,20240601,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240601/B2,2bd5ac12ce609aa2c74ffaaee1661def7ee08e93d98805a426032cd23ab493c7
A,E3_L1_F1_C2,L1,20240601,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240601/B4b,0f018ae8d9a7bea15f92ee234ca1bcfbf9d38f9c53561dc6b0febbefd9839a4c
A,E3_L1_F1_C2,L1,20240602,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240602/B0,1b09b49c302d01ba015e5e2e328432d1891b3f8200b4232c0b8c732cb8bc55f4
A,E3_L1_F1_C2,L1,20240602,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240602/B1,3507d6545765c486610acabf60970be26c094bee61b1d09680aad73e13c4c8fc
A,E3_L1_F1_C2,L1,20240602,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240602/B2,3507d6545765c486610acabf60970be26c094bee61b1d09680aad73e13c4c8fc
A,E3_L1_F1_C2,L1,20240602,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240602/B4b,3507d6545765c486610acabf60970be26c094bee61b1d09680aad73e13c4c8fc
A,E3_L1_F1_C2,L1,20240603,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240603/B0,1973d9c0e1363681adde2ee0bd7ca39463e07c29e23882a8ffefc9cbc6e19018
A,E3_L1_F1_C2,L1,20240603,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240603/B1,dc3fe0bbbe3c749699b088d058ea506f23b9c8b0e1ee3f7eac7193d1f407302d
