t,sim_time_s,sumo_vehicles,b1_blocked,eta_d1_h1_s,eta_baseline_s,accessibility_degraded
1,1,1,False,131.8383729301656,,False
2,2,1,False,131.8383729301656,,False
3,3,1,False,131.8383729301656,,False
4,4,1,False,131.8383729301656,,False
5,5,1,False,131.8383729301656,,False
6,6,1,False,131.8383729301656,,False
7,7,1,False,131.8383729301656,,False
8,8,1,False,131.8383729301656,,False
9,9,2,False,131.8383729301656,,False
10,10,2,False,131.8383729301656,131.8383729301656,False
11,11,2,False,131.8383729301656,131.8383729301656,False
12,12,3,False,131.8383729301656,131.8383729301656,False
13,13,3,False,131.8383729301656,131.8383729301656,False
14,14,3,False,131.8383729301656,131.8383729301656,False
15,15,3,False,131.8383729301656,131.8383729301656,False
16,16,3,False,131.8383729301656,131.8383729301656,False
17,17,4,False,131.8383729301656,131.8383729301656,False
18,18,4,False,131.8383729301656,131.8383729301656,False
19,19,4,False,131.8383729301656,131.8383729301656,False
20,20,4,False,131.8383729301656,131.8383729301656,False
21,21,4,False,131.8383729301656,131.8383729301656,False
22,22,4,False,131.8383729301656,131.8383729301656,False
23,23,4,False,131.8383729301656,131.8383729301656,False
24,24,4,False,131.8383729301656,131.8383729301656,False
25,25,5,False,131.8383729301656,131.8383729301656,False
26,26,5,False,131.8383729301656,131.8383729301656,False
27,27,5,False,131.8383729301656,131.8383729301656,False
28,28,6,False,131.8383729301656,131.8383729301656,False
29,29,6,False,131.8383729301656,131.8383729301656,False
30,30,6,False,131.8383729301656,131.8383729301656,False
31,31,6,False,131.8383729301656,131.8383729301656,False
32,32,6,False,131.8383729301656,131.8383729301656,False
33,33,6,False,131.8383729301656,131.8383729301656,False
34,34,6,False,131.8383729301656,131.8383729301656,False
35,35,6,False,131.8383729301656,131.8383729301656,False
36,36,7,False,131.8383729301656,131.8383729301656,False
37,37,7,False,131.8383729301656,131.8383729301656,False
38,38,7,False,131.8383729301656,131.8383729301656,False
39,39,7,False,131.8383729301656,131.8383729301656,False
40,40,7,False,131.8383729301656,131.8383729301656,False
41,41,7,False,131.8383729301656,131.8383729301656,False
42,42,7,False,131.8383729301656,131.8383729301656,False
43,43,8,False,131.8383729301656,131.8383729301656,False
44,44,8,False,131.8383729301656,131.8383729301656,False
45,45,8,False,131.8383729301656,131.8383729301656,False
46,46,8,False,131.8383729301656,131.8383729301656,False
47,47,8,False,131.8383729301656,131.8383729301656,False
48,48,9,False,131.8383729301656,131.8383729301656,False
49,49,9,False,131.8383729301656,131.8383729301656,False
50,50,9,False,131.8383729301656,131.8383729301656,False
51,51,10,False,131.8383729301656,131.8383729301656,False
52,52,10,False,131.8383729301656,131.8383729301656,False
53,53,10,False,131.8383729301656,131.8383729301656,False
54,54,10,False,131.8383729301656,131.8383729301656,False
55,55,10,False,131.8383729301656,131.8383729301656,False
56,56,10,False,131.8383729301656,131.8383729301656,False
57,57,11,False,131.8383729301656,131.8383729301656,False
58,58,11,False,131.8383729301656,131.8383729301656,False
59,59,11,False,131.8383729301656,131.8383729301656,False
60,60,11,False,131.8383729301656,131.8383729301656,False
61,61,11,False,131.8383729301656,131.8383729301656,False
62,62,11,False,131.8383729301656,131.8383729301656,False
63,63,11,False,131.8383729301656,131.8383729301656,False
64,64,11,False,131.8383729301656,131.8383729301656,False
65,65,11,False,131.8383729301656,131.8383729301656,False
66,66,11,False,131.8383729301656,131.8383729301656,False
67,67,12,False,131.8383729301656,131.8383729301656,False
68,68,12,False,131.8383729301656,131.8383729301656,False
69,69,12,False,131.8383729301656,131.8383729301656,False
70,70,12,False,131.8383729301656,131.8383729301656,False
71,71,12,False,131.8383729301656,131.8383729301656,False
72,72,12,False,131.8383729301656,131.8383729301656,False
73,73,11,False,131.8383729301656,131.8383729301656,False
74,74,11,False,131.8383729301656,131.8383729301656,False
75,75,11,False,131.8383729301656,131.8383729301656,False
76,76,11,False,131.8383729301656,131.8383729301656,False
77,77,11,False,131.8383729301656,131.8383729301656,False
