t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
1,1,EVTOL-01,EC35,31.2997112,120.5971803,199.9,BUSY,M-P-001,V1
1,1,L-UAV-01,AMZN,31.2992885,120.5972396,100.0,BUSY,M-L-001,V3
1,1,M-UAV-01,M600,31.3108767,120.6039862,98.5,AVAILABLE,,
1,1,M-UAV-02,M600,31.2971716,120.5956323,98.5,AVAILABLE,,
2,2,EVTOL-01,EC35,31.3000336,120.5973768,199.9,BUSY,M-P-001,V1
2,2,L-UAV-01,AMZN,31.2994024,120.5973260,100.0,BUSY,M-L-001,V3
2,2,M-UAV-01,M600,31.3108767,120.6039862,95.4,AVAILABLE,,
2,2,M-UAV-02,M600,31.2971716,120.5956323,95.4,AVAILABLE,,
3,3,EVTOL-01,EC35,31.3003559,120.5975732,199.9,BUSY,M-P-001,V1
3,3,L-UAV-01,AMZN,31.2995163,120.5974125,100.0,BUSY,M-L-001,V3
3,3,M-UAV-01,M600,31.3108767,120.6039862,90.8,AVAILABLE,,
3,3,M-UAV-02,M600,31.2971716,120.5956323,90.8,AVAILABLE,,
4,4,EVTOL-01,EC35,31.3006782,120.5977697,199.9,BUSY,M-P-001,V1
4,4,L-UAV-01,AMZN,31.2996301,120.5974990,100.0,BUSY,M-L-001,V3
4,4,M-UAV-01,M600,31.3108767,120.6039862,84.7,AVAILABLE,,
4,4,M-UAV-02,M600,31.2971716,120.5956323,84.7,AVAILABLE,,
5,5,EVTOL-01,EC35,31.3010005,120.5979661,199.9,BUSY,M-P-001,V1
5,5,L-UAV-01,AMZN,31.2997440,120.5975854,100.0,BUSY,M-L-001,V3
5,5,M-UAV-01,M600,31.3108767,120.6039862,77.1,AVAILABLE,,
5,5,M-UAV-02,M600,31.2971716,120.5956323,77.1,AVAILABLE,,
6,6,EVTOL-01,EC35,31.3013228,120.5981626,199.9,BUSY,M-P-001,V1
6,6,L-UAV-01,AMZN,31.2998579,120.5976719,100.0,BUSY,M-L-001,V3
6,6,M-UAV-01,M600,31.3108767,120.6039862,69.5,AVAILABLE,,
6,6,M-UAV-02,M600,31.2971716,120.5956323,69.5,AVAILABLE,,
7,7,EVTOL-01,EC35,31.3016452,120.5983590,199.9,BUSY,M-P-001,V1
7,7,L-UAV-01,AMZN,31.2999718,120.5977583,100.0,BUSY,M-L-001,V3
7,7,M-UAV-01,M600,31.3108767,120.6039862,61.9,AVAILABLE,,
7,7,M-UAV-02,M600,31.2971716,120.5956323,61.9,AVAILABLE,,
8,8,EVTOL-01,EC35,31.3019675,120.5985555,199.9,BUSY,M-P-001,V1
8,8,L-UAV-01,AMZN,31.3000857,120.5978448,100.0,BUSY,M-L-001,V3
8,8,M-UAV-01,M600,31.3108767,120.6039862,54.3,AVAILABLE,,
8,8,M-UAV-02,M600,31.2971716,120.5956323,54.3,AVAILABLE,,
9,9,EVTOL-01,EC35,31.3022898,120.5987519,199.9,BUSY,M-P-001,V1
9,9,L-UAV-01,AMZN,31.3001995,120.5979312,100.0,BUSY,M-L-001,V3
9,9,M-UAV-01,M600,31.3108767,120.6039862,46.6,AVAILABLE,,
9,9,M-UAV-02,M600,31.2971716,120.5956323,46.6,AVAILABLE,,
10,10,EVTOL-01,EC35,31.3026121,120.5989484,199.9,BUSY,M-P-001,V1
10,10,L-UAV-01,AMZN,31.3003134,120.5980177,100.0,BUSY,M-L-001,V3
10,10,M-UAV-01,M600,31.3108767,120.6039862,39.0,AVAILABLE,,
10,10,M-UAV-02,M600,31.2971716,120.5956323,39.0,AVAILABLE,,
11,11,EVTOL-01,EC35,31.3029344,120.5991448,199.9,BUSY,M-P-001,V1
11,11,L-UAV-01,AMZN,31.3004273,120.5981042,100.0,BUSY,M-L-001,V3
11,11,M-UAV-01,M600,31.3108767,120.6039862,31.4,AVAILABLE,,
11,11,M-UAV-02,M600,31.2971716,120.5956323,31.4,AVAILABLE,,
12,12,EVTOL-01,EC35,31.3032567,120.5993413,199.9,BUSY,M-P-001,V1
12,12,L-UAV-01,AMZN,31.3005412,120.5981906,100.0,BUSY,M-L-001,V3
12,12,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
12,12,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
13,13,EVTOL-01,EC35,31.3035791,120.5995377,199.9,BUSY,M-P-001,V1
13,13,L-UAV-01,AMZN,31.3006551,120.5982771,100.0,BUSY,M-L-001,V3
13,13,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
13,13,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
14,14,EVTOL-01,EC35,31.3039014,120.5997342,199.9,BUSY,M-P-001,V1
14,14,L-UAV-01,AMZN,31.3007690,120.5983635,100.0,BUSY,M-L-001,V3
14,14,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
14,14,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
15,15,EVTOL-01,EC35,31.3042237,120.5999306,199.9,BUSY,M-P-001,V1
15,15,L-UAV-01,AMZN,31.3008828,120.5984500,100.0,BUSY,M-L-001,V3
15,15,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
15,15,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
16,16,EVTOL-01,EC35,31.3045460,120.6001271,199.9,BUSY,M-P-001,V1
16,16,L-UAV-01,AMZN,31.3009967,120.5985365,100.0,BUSY,M-L-001,V3
16,16,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
16,16,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
17,17,EVTOL-01,EC35,31.3048683,120.6003236,199.9,BUSY,M-P-001,V1
17,17,L-UAV-01,AMZN,31.3011106,120.5986229,100.0,BUSY,M-L-001,V3
17,17,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
17,17,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
18,18,EVTOL-01,EC35,31.3051906,120.6005200,199.9,BUSY,M-P-001,V1
18,18,L-UAV-01,AMZN,31.3012245,120.5987094,100.0,BUSY,M-L-001,V3
18,18,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
18,18,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
19,19,EVTOL-01,EC35,31.3055130,120.6007165,199.9,BUSY,M-P-001,V1
19,19,L-UAV-01,AMZN,31.3013384,120.5987958,100.0,BUSY,M-L-001,V3
19,19,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
19,19,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
20,20,EVTOL-01,EC35,31.3058353,120.6009130,199.9,BUSY,M-P-001,V1
20,20,L-UAV-01,AMZN,31.3014522,120.5988823,100.0,BUSY,M-L-001,V3
20,20,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
20,20,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
21,21,EVTOL-01,EC35,31.3061576,120.6011094,199.9,BUSY,M-P-001,V1
21,21,L-UAV-01,AMZN,31.3015661,120.5989688,100.0,BUSY,M-L-001,V3
21,21,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
21,21,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
