logical_unit,original_path,revised_path,original_status,revised_status,original_sha256,revised_sha256,reason,executor,analysis_entry
E4B/D60/E4_ANCHOR/seed20240601/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240601/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240601/B0/metrics.json,present,present,8eb90cc86f40cf0ff4b461be28f0cb2aefad4d4e921c211d32e4442e6d19ca8e,2ea14aa3e44ee70b9cd2c9544c1c10e854350fc94fedba8016087c3905ada0b2,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240602/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240602/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240602/B0/metrics.json,present,present,0820c3b1a6b1c219ebca53ff223fcf47d6bc3389b2451717657a066958385418,c8d98140fb9eefd9a691336b370ab04141ede8961bb6f6dfde28cfa66d8237c1,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240603/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240603/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240603/B0/metrics.json,present,present,e64e453452cc2b4ce106585dec258cd8839b666ec8a14bbf0fb129af3327479f,9b1b981461158260ea560941caaab43a1b7d55a8a1e8acf1c1474d02f91018ad,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240604/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240604/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240604/B0/metrics.json,present,present,a50024f7a8c7526cdce621e1345d6334dfbd603d2b9c32c146b16bb8d025faab,2142fbc289b1f916ca6c5e4fcb36b55a3aa5e58a61f781303714ba058cdeee6b,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240605/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240605/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240605/B0/metrics.json,present,present,9d8f791b8afd2c3e220a6d964c8bdb4a3fbeccd884d6137a1e77f1d9a736a4c0,6ad44f2256d62103f07c02845e8026416926b4b2a36ef11e2390e8542659f885,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240606/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240606/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240606/B0/metrics.json,present,present,d36e2de64aecdc8109845cda967a5c5340a804052d8ab4fde41c5b94c41c5b4d,2285822fb85d65d6aaf8529cd7a7106bd26ce5bc1354eb5749ce60ce9d870a83,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240607/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240607/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240607/B0/metrics.json,present,present,af9af86aee31e89c970b48680ee5a82384fe4072aab5f242b74f5e9c467c8135,5cd9e2926311a2c367c0d2dc7691602323b63690f1d7e8b6f40b913189108a03,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240608/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240608/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240608/B0/metrics.json,present,present,311a73c708a579d8e240238688982bd82ac5d37c4390ef75f3dcbe2b340ade12,bba4971a68df4ce90044c37e7f02255636a980d5bc024d5fc160372d9e239a28,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240609/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240609/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240609/B0/metrics.json,present,present,db5dd0618e18512d50a256c65764bed37df54e1e3263be18a04a91e9b3e2f1eb,f6321268fcb097dd54c58107042323e6d9ea8b79886986ed862a3f06d7168fb6,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240610/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240610/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240610/B0/metrics.json,present,present,3d452510ed87a12ea14c51f278626bf2819f4d8e1327a4f182e1b1f136d8c5d8,458bf955793826691b8fe32529f1a7e353c261066917636502d69043a80d1ad4,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
E4B/D60/E4_ANCHOR/seed20240611/B0,legacy/20260918/runs/experiment4/primary/4B/D60/E4_ANCHOR/seed20240611/B0/metrics.json,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240611/B0/metrics.json,present,present,2f96ba2362b2f2e577ee8b18fc49fd108f35bf3d0f13c74f04c6ced6bdc34ea1,44502588b44dd644428b5a166dbbea256940c637c27b26eda8138f8b7a0b06c5,"Identical pending command retains original due time; replacement observation, not extra sample",DeduplicatedExperiment4BRunner,manuscript/source/revision_v3/finalize_data.py
