experiment,site,sid,seed,mgr,level,critical_mission_completion_time_s,critical_mission_deadline_violation,affected_critical,recovery_success,system_weighted_loss,pending_before_deadline_penalty,swl_sensitivity_exclude_pending,second_state,second_mode,path
2,A,E2_F1_C1,20240601,B0,,182,True,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240601/B0
2,A,E2_F1_C1,20240601,B1,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240601/B1
2,A,E2_F1_C1,20240601,B2,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240601/B2
2,A,E2_F1_C1,20240601,B4b,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240601/B4b
2,A,E2_F1_C1,20240602,B0,,182,True,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240602/B0
2,A,E2_F1_C1,20240602,B1,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240602/B1
2,A,E2_F1_C1,20240602,B2,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240602/B2
2,A,E2_F1_C1,20240602,B4b,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240602/B4b
2,A,E2_F1_C1,20240603,B0,,182,True,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240603/B0
2,A,E2_F1_C1,20240603,B1,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240603/B1
2,A,E2_F1_C1,20240603,B2,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240603/B2
2,A,E2_F1_C1,20240603,B4b,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240603/B4b
2,A,E2_F1_C1,20240604,B0,,182,True,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240604/B0
2,A,E2_F1_C1,20240604,B1,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240604/B1
2,A,E2_F1_C1,20240604,B2,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240604/B2
2,A,E2_F1_C1,20240604,B4b,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240604/B4b
2,A,E2_F1_C1,20240605,B0,,182,True,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240605/B0
2,A,E2_F1_C1,20240605,B1,,110,False,False,False,,,,,,runs/experiment2/E2_F1_C1/seed20240605/B1
