cohort,delay_s,environment_id,eta_multiplier,fault_offset_s,fixture_status,fleet_n,group,handoff_s,llm_model,load_ratio,margin_s,method,mode,pair_id,planned_cell_id,proposer,reasoning_effort,reusable_anchor_cell_id,runtime_signature,scenario,seed,status,timeout_s,within_block_order
development,0,f8daf4df494ba35b4d94,,,not_materialized,,DEV_CORE,,,,,X_FIX,ASYNC_EMULATED,5c6b92cc7728fc10fce2,DEV_CORE-86892e4f42d320a0,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,20270901,planned_not_executed,,
development,0,e985265ff01a34303547,,,not_materialized,,DEV_CORE,,,,,X_FIX,ASYNC_EMULATED,d11b4af1a703a2ca86cf,DEV_CORE-825a9bf9ce35ff02,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,20270902,planned_not_executed,,
development,0,425a4d5d6be0fdabf881,,,not_materialized,,DEV_CORE,,,,,X_FIX,ASYNC_EMULATED,20b1e466da461aed8297,DEV_CORE-d244784869a59cb6,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,20270903,planned_not_executed,,
development,0,3801ae0c2fa15e837193,,,not_materialized,,DEV_CORE,,,,,X_FIX,ASYNC_EMULATED,ad9afa10cd4e87e0ac7f,DEV_CORE-b808ff2252fea4bf,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,20270904,planned_not_executed,,
development,0,30080ce1970ca2742840,,,not_materialized,,DEV_CORE,,,,,X_FIX,ASYNC_EMULATED,9ccb28611fdd7d3bae0c,DEV_CORE-63cf8f5fa6b3e0ce,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,20270905,planned_not_executed,,
development,0,f8daf4df494ba35b4d94,,,not_materialized,,DEV_CORE,,,,,X_LST,ASYNC_EMULATED,5c6b92cc7728fc10fce2,DEV_CORE-f5a9cd04d43bd4b1,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,20270901,planned_not_executed,,
development,0,e985265ff01a34303547,,,not_materialized,,DEV_CORE,,,,,X_LST,ASYNC_EMULATED,d11b4af1a703a2ca86cf,DEV_CORE-0ade053e055aadb8,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,20270902,planned_not_executed,,
development,0,425a4d5d6be0fdabf881,,,not_materialized,,DEV_CORE,,,,,X_LST,ASYNC_EMULATED,20b1e466da461aed8297,DEV_CORE-ab42913aead007e0,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,20270903,planned_not_executed,,
development,0,3801ae0c2fa15e837193,,,not_materialized,,DEV_CORE,,,,,X_LST,ASYNC_EMULATED,ad9afa10cd4e87e0ac7f,DEV_CORE-b2e33e536da80787,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,20270904,planned_not_executed,,
development,0,30080ce1970ca2742840,,,not_materialized,,DEV_CORE,,,,,X_LST,ASYNC_EMULATED,9ccb28611fdd7d3bae0c,DEV_CORE-e365d7c9e192517c,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,20270905,planned_not_executed,,
development,0,f8daf4df494ba35b4d94,,,not_materialized,,DEV_CORE,,,,,X_TX,ASYNC_EMULATED,5c6b92cc7728fc10fce2,DEV_CORE-b1e7940fbc26e97e,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,20270901,planned_not_executed,,
