delay_s,executor,expected_completion_absolute_s,expected_task_duration_s,failure_time_s,group,historical_metrics,historical_sha256,method,output_root,seed,status
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240601/B0/metrics.json,2ea14aa3e44ee70b9cd2c9544c1c10e854350fc94fedba8016087c3905ada0b2,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
60,runtime_v2_legacy_compatible_pending,542,242,360,R0_BRIDGE,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240601/B0/metrics.json,2ea14aa3e44ee70b9cd2c9544c1c10e854350fc94fedba8016087c3905ada0b2,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240602/B0/metrics.json,c8d98140fb9eefd9a691336b370ab04141ede8961bb6f6dfde28cfa66d8237c1,B0,research_hscc2027/runs/regression_new_only,20240602,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240603/B0/metrics.json,9b1b981461158260ea560941caaab43a1b7d55a8a1e8acf1c1474d02f91018ad,B0,research_hscc2027/runs/regression_new_only,20240603,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240604/B0/metrics.json,2142fbc289b1f916ca6c5e4fcb36b55a3aa5e58a61f781303714ba058cdeee6b,B0,research_hscc2027/runs/regression_new_only,20240604,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240605/B0/metrics.json,6ad44f2256d62103f07c02845e8026416926b4b2a36ef11e2390e8542659f885,B0,research_hscc2027/runs/regression_new_only,20240605,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240606/B0/metrics.json,2285822fb85d65d6aaf8529cd7a7106bd26ce5bc1354eb5749ce60ce9d870a83,B0,research_hscc2027/runs/regression_new_only,20240606,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240607/B0/metrics.json,5cd9e2926311a2c367c0d2dc7691602323b63690f1d7e8b6f40b913189108a03,B0,research_hscc2027/runs/regression_new_only,20240607,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240608/B0/metrics.json,bba4971a68df4ce90044c37e7f02255636a980d5bc024d5fc160372d9e239a28,B0,research_hscc2027/runs/regression_new_only,20240608,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240609/B0/metrics.json,f6321268fcb097dd54c58107042323e6d9ea8b79886986ed862a3f06d7168fb6,B0,research_hscc2027/runs/regression_new_only,20240609,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240610/B0/metrics.json,458bf955793826691b8fe32529f1a7e353c261066917636502d69043a80d1ad4,B0,research_hscc2027/runs/regression_new_only,20240610,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240611/B0/metrics.json,44502588b44dd644428b5a166dbbea256940c637c27b26eda8138f8b7a0b06c5,B0,research_hscc2027/runs/regression_new_only,20240611,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240612/B0/metrics.json,3dad64c2769eb55dfbc56679b5e381c720b7565b7040fc4c7a4b1bbf38221556,B0,research_hscc2027/runs/regression_new_only,20240612,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240613/B0/metrics.json,de89342b779dbbb34862514aa478d3a35b2915f413999eba5b892559626e1cbb,B0,research_hscc2027/runs/regression_new_only,20240613,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240614/B0/metrics.json,3d4e02413d1a50791991b7eead0d6fceaf541e805cffe4b7f46e7d7abf21d7a2,B0,research_hscc2027/runs/regression_new_only,20240614,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240615/B0/metrics.json,97c7302aa315e420e3040ab07b7d1231dae9631e7d0f6fd57b04818cc5dac5db,B0,research_hscc2027/runs/regression_new_only,20240615,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240616/B0/metrics.json,e160ce50dbc87d87919b0cff326feb25ebc67f1f3a57a8e45b3eb1894aa97fca,B0,research_hscc2027/runs/regression_new_only,20240616,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240617/B0/metrics.json,d14a8050d80ed78b07899a059909e07f6f9b6ab121287fffd904419e5ca371ed,B0,research_hscc2027/runs/regression_new_only,20240617,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240618/B0/metrics.json,b268fba10dfb7ef83f9821d63658d064e8089750a7b9a4fd8d26e6d579022f12,B0,research_hscc2027/runs/regression_new_only,20240618,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240619/B0/metrics.json,29b289d202e2c57bd306c2e9b542a26032e515905c9d361bef523b3af4756153,B0,research_hscc2027/runs/regression_new_only,20240619,planned_not_executed
60,legacy_corrected,542,242,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D60_F360/seed20240620/B0/metrics.json,8a52d2331c445eac0f678a1f3f74838bcf717c7a666ad5198dd84df730f5a89d,B0,research_hscc2027/runs/regression_new_only,20240620,planned_not_executed
0,legacy_corrected,482,182,360,R0_REPLAY,legacy/20260918/manuscript/source/revision_v3/regression/D00_F360/seed20240601/B0/metrics.json,3f96c3506b96f88e6d3d0e95a73e46df5cc0b4d320f6ead81883ba2c1e424fdb,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
0,runtime_v2_legacy_compatible_pending,482,182,360,R0_BRIDGE,legacy/20260918/manuscript/source/revision_v3/regression/D00_F360/seed20240601/B0/metrics.json,3f96c3506b96f88e6d3d0e95a73e46df5cc0b4d320f6ead81883ba2c1e424fdb,B0,research_hscc2027/runs/regression_new_only,20240601,planned_not_executed
