cohort,delay_s,environment_id,environment_identity_status,eta_multiplier,fault_offset_s,fixture_status,fixture_version,fleet_n,group,handoff_s,llm_model,load_ratio,margin_s,method,mode,network_sha256,pair_id,planned_cell_id,proposer,reasoning_effort,reusable_anchor_cell_id,runtime_signature,scenario,scenario_family,seed,site_id,status,timeout_s,within_block_order
development,0,81bf3e95bb7262304ff3,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_FIX,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,bb3cc82dfafea3d2a6c7,DEV_CORE-8873cc7583a6e398,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270901,A,planned_not_executed,,
development,0,073d5325bf189af16369,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_FIX,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,2d9c4a5b8493e931546f,DEV_CORE-40decbf1913aeed0,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270902,A,planned_not_executed,,
development,0,316aaa1e3b76f49e048d,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_FIX,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,686689aa3074f3c07194,DEV_CORE-4b5ac46d3ec238fc,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270903,A,planned_not_executed,,
development,0,a40853f5f423d956bfb4,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_FIX,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,fc3ac11580fc448e8e48,DEV_CORE-0cc1bd53a36a59fd,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270904,A,planned_not_executed,,
development,0,bb0d22ccdec803d9326f,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_FIX,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,6e4822bd8db262f00653,DEV_CORE-de19720cf80cf43c,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270905,A,planned_not_executed,,
development,0,81bf3e95bb7262304ff3,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_LST,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,bb3cc82dfafea3d2a6c7,DEV_CORE-b75ea5c79aa0656c,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270901,A,planned_not_executed,,
development,0,073d5325bf189af16369,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_LST,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,2d9c4a5b8493e931546f,DEV_CORE-665998c0f177c0a2,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270902,A,planned_not_executed,,
development,0,316aaa1e3b76f49e048d,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_LST,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,686689aa3074f3c07194,DEV_CORE-627812ae976fd479,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270903,A,planned_not_executed,,
development,0,a40853f5f423d956bfb4,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_LST,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,fc3ac11580fc448e8e48,DEV_CORE-f4dfe19f1f0ea5f9,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270904,A,planned_not_executed,,
development,0,bb0d22ccdec803d9326f,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_LST,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,6e4822bd8db262f00653,DEV_CORE-2c01849e350d66ab,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270905,A,planned_not_executed,,
development,0,81bf3e95bb7262304ff3,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_TX,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,bb3cc82dfafea3d2a6c7,DEV_CORE-09e7566756bfb2f0,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270901,A,planned_not_executed,,
development,0,073d5325bf189af16369,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_TX,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,2d9c4a5b8493e931546f,DEV_CORE-72c59269933d916c,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270902,A,planned_not_executed,,
development,0,316aaa1e3b76f49e048d,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_TX,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,686689aa3074f3c07194,DEV_CORE-d692a68ded0afc61,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270903,A,planned_not_executed,,
development,0,a40853f5f423d956bfb4,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_TX,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,fc3ac11580fc448e8e48,DEV_CORE-9797fe71ee96c946,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270904,A,planned_not_executed,,
development,0,bb0d22ccdec803d9326f,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_TX,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,6e4822bd8db262f00653,DEV_CORE-5a21b1ef7ebc979d,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270905,A,planned_not_executed,,
development,0,81bf3e95bb7262304ff3,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_FULL,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,bb3cc82dfafea3d2a6c7,DEV_CORE-6bf62754acbbb12e,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270901,A,planned_not_executed,,
development,0,073d5325bf189af16369,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_FULL,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,2d9c4a5b8493e931546f,DEV_CORE-fe6fee9c14c5c7b8,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270902,A,planned_not_executed,,
development,0,316aaa1e3b76f49e048d,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_FULL,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,686689aa3074f3c07194,DEV_CORE-f1445be0b26a3515,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270903,A,planned_not_executed,,
development,0,a40853f5f423d956bfb4,planning_only_formal_fixture_missing,,,not_materialized,pending_formal_freeze_v0.2,,DEV_CORE,,,,,X_FULL,ASYNC_EMULATED,c34caea7f89f77c820aba915db4bd8a03e093f57aa46edc51a769499df67ff2d,fc3ac11580fc448e8e48,DEV_CORE-4206351dc60f3f03,SCRIPTED_V1,,,pending_implementation_and_freeze,S0,S0,20270904,A,planned_not_executed,,
