t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
1,1,EVTOL-01,EC35,31.3011162,120.5980367,199.9,BUSY,M-P-001,V1
1,1,L-UAV-01,AMZN,31.2983944,120.5965607,100.0,BUSY,M-L-001,V3
1,1,M-UAV-01,M600,31.3108767,120.6039862,98.5,AVAILABLE,,
1,1,M-UAV-02,M600,31.2971716,120.5956323,98.5,AVAILABLE,,
2,2,EVTOL-01,EC35,31.3014386,120.5982332,199.9,BUSY,M-P-001,V1
2,2,L-UAV-01,AMZN,31.2985082,120.5966472,100.0,BUSY,M-L-001,V3
2,2,M-UAV-01,M600,31.3108767,120.6039862,95.4,AVAILABLE,,
2,2,M-UAV-02,M600,31.2971716,120.5956323,95.4,AVAILABLE,,
3,3,EVTOL-01,EC35,31.3017609,120.5984296,199.9,BUSY,M-P-001,V1
3,3,L-UAV-01,AMZN,31.2986221,120.5967336,100.0,BUSY,M-L-001,V3
3,3,M-UAV-01,M600,31.3108767,120.6039862,90.8,AVAILABLE,,
3,3,M-UAV-02,M600,31.2971716,120.5956323,90.8,AVAILABLE,,
4,4,EVTOL-01,EC35,31.3020832,120.5986261,199.9,BUSY,M-P-001,V1
4,4,L-UAV-01,AMZN,31.2987360,120.5968201,100.0,BUSY,M-L-001,V3
4,4,M-UAV-01,M600,31.3108767,120.6039862,84.7,AVAILABLE,,
4,4,M-UAV-02,M600,31.2971716,120.5956323,84.7,AVAILABLE,,
5,5,EVTOL-01,EC35,31.3024055,120.5988225,199.9,BUSY,M-P-001,V1
5,5,L-UAV-01,AMZN,31.2988499,120.5969065,100.0,BUSY,M-L-001,V3
5,5,M-UAV-01,M600,31.3108767,120.6039862,77.1,AVAILABLE,,
5,5,M-UAV-02,M600,31.2971716,120.5956323,77.1,AVAILABLE,,
6,6,EVTOL-01,EC35,31.3027278,120.5990190,199.9,BUSY,M-P-001,V1
6,6,L-UAV-01,AMZN,31.2989638,120.5969930,100.0,BUSY,M-L-001,V3
6,6,M-UAV-01,M600,31.3108767,120.6039862,69.5,AVAILABLE,,
6,6,M-UAV-02,M600,31.2971716,120.5956323,69.5,AVAILABLE,,
7,7,EVTOL-01,EC35,31.3030502,120.5992154,199.9,BUSY,M-P-001,V1
7,7,L-UAV-01,AMZN,31.2990777,120.5970795,100.0,BUSY,M-L-001,V3
7,7,M-UAV-01,M600,31.3108767,120.6039862,61.9,AVAILABLE,,
7,7,M-UAV-02,M600,31.2971716,120.5956323,61.9,AVAILABLE,,
8,8,EVTOL-01,EC35,31.3033725,120.5994119,199.9,BUSY,M-P-001,V1
8,8,L-UAV-01,AMZN,31.2991915,120.5971659,100.0,BUSY,M-L-001,V3
8,8,M-UAV-01,M600,31.3108767,120.6039862,54.3,AVAILABLE,,
8,8,M-UAV-02,M600,31.2971716,120.5956323,54.3,AVAILABLE,,
9,9,EVTOL-01,EC35,31.3036948,120.5996083,199.9,BUSY,M-P-001,V1
9,9,L-UAV-01,AMZN,31.2993054,120.5972524,100.0,BUSY,M-L-001,V3
9,9,M-UAV-01,M600,31.3108767,120.6039862,46.6,AVAILABLE,,
9,9,M-UAV-02,M600,31.2971716,120.5956323,46.6,AVAILABLE,,
10,10,EVTOL-01,EC35,31.3040171,120.5998048,199.9,BUSY,M-P-001,V1
10,10,L-UAV-01,AMZN,31.2994193,120.5973388,100.0,BUSY,M-L-001,V3
10,10,M-UAV-01,M600,31.3108767,120.6039862,39.0,AVAILABLE,,
10,10,M-UAV-02,M600,31.2971716,120.5956323,39.0,AVAILABLE,,
11,11,EVTOL-01,EC35,31.3043394,120.6000012,199.9,BUSY,M-P-001,V1
11,11,L-UAV-01,AMZN,31.2995332,120.5974253,100.0,BUSY,M-L-001,V3
11,11,M-UAV-01,M600,31.3108767,120.6039862,31.4,AVAILABLE,,
11,11,M-UAV-02,M600,31.2971716,120.5956323,31.4,AVAILABLE,,
12,12,EVTOL-01,EC35,31.3046617,120.6001977,199.9,BUSY,M-P-001,V1
12,12,L-UAV-01,AMZN,31.2996471,120.5975117,100.0,BUSY,M-L-001,V3
12,12,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
12,12,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
13,13,EVTOL-01,EC35,31.3049841,120.6003942,199.9,BUSY,M-P-001,V1
13,13,L-UAV-01,AMZN,31.2997609,120.5975982,100.0,BUSY,M-L-001,V3
13,13,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
13,13,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
14,14,EVTOL-01,EC35,31.3053064,120.6005906,199.9,BUSY,M-P-001,V1
14,14,L-UAV-01,AMZN,31.2998748,120.5976847,100.0,BUSY,M-L-001,V3
14,14,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
14,14,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
15,15,EVTOL-01,EC35,31.3056287,120.6007871,199.9,BUSY,M-P-001,V1
15,15,L-UAV-01,AMZN,31.2999887,120.5977711,100.0,BUSY,M-L-001,V3
15,15,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
15,15,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
16,16,EVTOL-01,EC35,31.3059510,120.6009836,199.9,BUSY,M-P-001,V1
16,16,L-UAV-01,AMZN,31.3001026,120.5978576,100.0,BUSY,M-L-001,V3
16,16,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
16,16,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
17,17,EVTOL-01,EC35,31.3062733,120.6011800,199.9,BUSY,M-P-001,V1
17,17,L-UAV-01,AMZN,31.3002165,120.5979440,100.0,BUSY,M-L-001,V3
17,17,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
17,17,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
18,18,EVTOL-01,EC35,31.3065956,120.6013765,199.9,BUSY,M-P-001,V1
18,18,L-UAV-01,AMZN,31.3003304,120.5980305,100.0,BUSY,M-L-001,V3
18,18,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
18,18,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
19,19,EVTOL-01,EC35,31.3069180,120.6015730,199.9,BUSY,M-P-001,V1
19,19,L-UAV-01,AMZN,31.3004442,120.5981170,100.0,BUSY,M-L-001,V3
19,19,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
19,19,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
20,20,EVTOL-01,EC35,31.3072403,120.6017694,199.9,BUSY,M-P-001,V1
20,20,L-UAV-01,AMZN,31.3005581,120.5982034,100.0,BUSY,M-L-001,V3
20,20,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
20,20,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
21,21,EVTOL-01,EC35,31.3075626,120.6019659,199.9,BUSY,M-P-001,V1
21,21,L-UAV-01,AMZN,31.3006720,120.5982899,100.0,BUSY,M-L-001,V3
21,21,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
21,21,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
22,22,EVTOL-01,EC35,31.3078849,120.6021624,199.9,BUSY,M-P-001,V1
22,22,L-UAV-01,AMZN,31.3007859,120.5983763,100.0,BUSY,M-L-001,V3
22,22,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
22,22,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
23,23,EVTOL-01,EC35,31.3082072,120.6023588,199.9,BUSY,M-P-001,V1
23,23,L-UAV-01,AMZN,31.3008998,120.5984628,100.0,BUSY,M-L-001,V3
23,23,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
23,23,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
24,24,EVTOL-01,EC35,31.3085295,120.6025553,199.9,BUSY,M-P-001,V1
24,24,L-UAV-01,AMZN,31.3010136,120.5985493,100.0,BUSY,M-L-001,V3
24,24,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
24,24,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
25,25,EVTOL-01,EC35,31.3088518,120.6027518,199.9,BUSY,M-P-001,V1
25,25,L-UAV-01,AMZN,31.3011275,120.5986357,100.0,BUSY,M-L-001,V3
25,25,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
