t,orchestrator_time,sumo_time,bluesky_time,sync_ok
1,1,1.000000,1.000000,True
2,2,2.000000,2.000000,True
3,3,3.000000,3.000000,True
4,4,4.000000,4.000000,True
5,5,5.000000,5.000000,True
6,6,6.000000,6.000000,True
7,7,7.000000,7.000000,True
8,8,8.000000,8.000000,True
9,9,9.000000,9.000000,True
10,10,10.000000,10.000000,True
11,11,11.000000,11.000000,True
12,12,12.000000,12.000000,True
13,13,13.000000,13.000000,True
14,14,14.000000,14.000000,True
15,15,15.000000,15.000000,True
16,16,16.000000,16.000000,True
17,17,17.000000,17.000000,True
18,18,18.000000,18.000000,True
19,19,19.000000,19.000000,True
20,20,20.000000,20.000000,True
21,21,21.000000,21.000000,True
22,22,22.000000,22.000000,True
23,23,23.000000,23.000000,True
24,24,24.000000,24.000000,True
25,25,25.000000,25.000000,True
26,26,26.000000,26.000000,True
27,27,27.000000,27.000000,True
28,28,28.000000,28.000000,True
29,29,29.000000,29.000000,True
30,30,30.000000,30.000000,True
31,31,31.000000,31.000000,True
32,32,32.000000,32.000000,True
33,33,33.000000,33.000000,True
34,34,34.000000,34.000000,True
35,35,35.000000,35.000000,True
36,36,36.000000,36.000000,True
37,37,37.000000,37.000000,True
38,38,38.000000,38.000000,True
39,39,39.000000,39.000000,True
40,40,40.000000,40.000000,True
41,41,41.000000,41.000000,True
42,42,42.000000,42.000000,True
43,43,43.000000,43.000000,True
44,44,44.000000,44.000000,True
45,45,45.000000,45.000000,True
46,46,46.000000,46.000000,True
47,47,47.000000,47.000000,True
48,48,48.000000,48.000000,True
49,49,49.000000,49.000000,True
50,50,50.000000,50.000000,True
51,51,51.000000,51.000000,True
52,52,52.000000,52.000000,True
53,53,53.000000,53.000000,True
54,54,54.000000,54.000000,True
55,55,55.000000,55.000000,True
56,56,56.000000,56.000000,True
57,57,57.000000,57.000000,True
58,58,58.000000,58.000000,True
59,59,59.000000,59.000000,True
60,60,60.000000,60.000000,True
61,61,61.000000,61.000000,True
62,62,62.000000,62.000000,True
63,63,63.000000,63.000000,True
64,64,64.000000,64.000000,True
65,65,65.000000,65.000000,True
66,66,66.000000,66.000000,True
67,67,67.000000,67.000000,True
68,68,68.000000,68.000000,True
69,69,69.000000,69.000000,True
70,70,70.000000,70.000000,True
71,71,71.000000,71.000000,True
72,72,72.000000,72.000000,True
73,73,73.000000,73.000000,True
74,74,74.000000,74.000000,True
75,75,75.000000,75.000000,True
76,76,76.000000,76.000000,True
77,77,77.000000,77.000000,True
78,78,78.000000,78.000000,True
79,79,79.000000,79.000000,True
80,80,80.000000,80.000000,True
81,81,81.000000,81.000000,True
82,82,82.000000,82.000000,True
83,83,83.000000,83.000000,True
84,84,84.000000,84.000000,True
85,85,85.000000,85.000000,True
86,86,86.000000,86.000000,True
87,87,87.000000,87.000000,True
88,88,88.000000,88.000000,True
89,89,89.000000,89.000000,True
90,90,90.000000,90.000000,True
91,91,91.000000,91.000000,True
92,92,92.000000,92.000000,True
93,93,93.000000,93.000000,True
94,94,94.000000,94.000000,True
95,95,95.000000,95.000000,True
96,96,96.000000,96.000000,True
97,97,97.000000,97.000000,True
98,98,98.000000,98.000000,True
99,99,99.000000,99.000000,True
100,100,100.000000,100.000000,True
101,101,101.000000,101.000000,True
102,102,102.000000,102.000000,True
103,103,103.000000,103.000000,True
104,104,104.000000,104.000000,True
105,105,105.000000,105.000000,True
106,106,106.000000,106.000000,True
107,107,107.000000,107.000000,True
108,108,108.000000,108.000000,True
109,109,109.000000,109.000000,True
110,110,110.000000,110.000000,True
111,111,111.000000,111.000000,True
112,112,112.000000,112.000000,True
113,113,113.000000,113.000000,True
114,114,114.000000,114.000000,True
115,115,115.000000,115.000000,True
116,116,116.000000,116.000000,True
117,117,117.000000,117.000000,True
118,118,118.000000,118.000000,True
119,119,119.000000,119.000000,True
120,120,120.000000,120.000000,True
121,121,121.000000,121.000000,True
122,122,122.000000,122.000000,True
123,123,123.000000,123.000000,True
124,124,124.000000,124.000000,True
125,125,125.000000,125.000000,True
126,126,126.000000,126.000000,True
127,127,127.000000,127.000000,True
128,128,128.000000,128.000000,True
129,129,129.000000,129.000000,True
130,130,130.000000,130.000000,True
131,131,131.000000,131.000000,True
132,132,132.000000,132.000000,True
133,133,133.000000,133.000000,True
134,134,134.000000,134.000000,True
135,135,135.000000,135.000000,True
136,136,136.000000,136.000000,True
137,137,137.000000,137.000000,True
138,138,138.000000,138.000000,True
139,139,139.000000,139.000000,True
140,140,140.000000,140.000000,True
141,141,141.000000,141.000000,True
142,142,142.000000,142.000000,True
143,143,143.000000,143.000000,True
144,144,144.000000,144.000000,True
145,145,145.000000,145.000000,True
146,146,146.000000,146.000000,True
147,147,147.000000,147.000000,True
148,148,148.000000,148.000000,True
149,149,149.000000,149.000000,True
150,150,150.000000,150.000000,True
151,151,151.000000,151.000000,True
152,152,152.000000,152.000000,True
153,153,153.000000,153.000000,True
154,154,154.000000,154.000000,True
155,155,155.000000,155.000000,True
156,156,156.000000,156.000000,True
157,157,157.000000,157.000000,True
158,158,158.000000,158.000000,True
159,159,159.000000,159.000000,True
160,160,160.000000,160.000000,True
161,161,161.000000,161.000000,True
162,162,162.000000,162.000000,True
163,163,163.000000,163.000000,True
164,164,164.000000,164.000000,True
165,165,165.000000,165.000000,True
166,166,166.000000,166.000000,True
167,167,167.000000,167.000000,True
168,168,168.000000,168.000000,True
169,169,169.000000,169.000000,True
170,170,170.000000,170.000000,True
171,171,171.000000,171.000000,True
172,172,172.000000,172.000000,True
173,173,173.000000,173.000000,True
174,174,174.000000,174.000000,True
175,175,175.000000,175.000000,True
176,176,176.000000,176.000000,True
177,177,177.000000,177.000000,True
178,178,178.000000,178.000000,True
179,179,179.000000,179.000000,True
180,180,180.000000,180.000000,True
181,181,181.000000,181.000000,True
182,182,182.000000,182.000000,True
183,183,183.000000,183.000000,True
184,184,184.000000,184.000000,True
185,185,185.000000,185.000000,True
186,186,186.000000,186.000000,True
187,187,187.000000,187.000000,True
188,188,188.000000,188.000000,True
189,189,189.000000,189.000000,True
190,190,190.000000,190.000000,True
191,191,191.000000,191.000000,True
192,192,192.000000,192.000000,True
193,193,193.000000,193.000000,True
194,194,194.000000,194.000000,True
195,195,195.000000,195.000000,True
196,196,196.000000,196.000000,True
197,197,197.000000,197.000000,True
198,198,198.000000,198.000000,True
199,199,199.000000,199.000000,True
200,200,200.000000,200.000000,True
201,201,201.000000,201.000000,True
202,202,202.000000,202.000000,True
203,203,203.000000,203.000000,True
204,204,204.000000,204.000000,True
205,205,205.000000,205.000000,True
206,206,206.000000,206.000000,True
207,207,207.000000,207.000000,True
208,208,208.000000,208.000000,True
209,209,209.000000,209.000000,True
210,210,210.000000,210.000000,True
211,211,211.000000,211.000000,True
212,212,212.000000,212.000000,True
213,213,213.000000,213.000000,True
214,214,214.000000,214.000000,True
215,215,215.000000,215.000000,True
216,216,216.000000,216.000000,True
217,217,217.000000,217.000000,True
218,218,218.000000,218.000000,True
219,219,219.000000,219.000000,True
220,220,220.000000,220.000000,True
221,221,221.000000,221.000000,True
222,222,222.000000,222.000000,True
223,223,223.000000,223.000000,True
224,224,224.000000,224.000000,True
225,225,225.000000,225.000000,True
226,226,226.000000,226.000000,True
227,227,227.000000,227.000000,True
228,228,228.000000,228.000000,True
229,229,229.000000,229.000000,True
230,230,230.000000,230.000000,True
231,231,231.000000,231.000000,True
232,232,232.000000,232.000000,True
233,233,233.000000,233.000000,True
234,234,234.000000,234.000000,True
235,235,235.000000,235.000000,True
236,236,236.000000,236.000000,True
237,237,237.000000,237.000000,True
238,238,238.000000,238.000000,True
239,239,239.000000,239.000000,True
240,240,240.000000,240.000000,True
241,241,241.000000,241.000000,True
242,242,242.000000,242.000000,True
243,243,243.000000,243.000000,True
244,244,244.000000,244.000000,True
245,245,245.000000,245.000000,True
246,246,246.000000,246.000000,True
247,247,247.000000,247.000000,True
248,248,248.000000,248.000000,True
249,249,249.000000,249.000000,True
250,250,250.000000,250.000000,True
251,251,251.000000,251.000000,True
252,252,252.000000,252.000000,True
253,253,253.000000,253.000000,True
254,254,254.000000,254.000000,True
255,255,255.000000,255.000000,True
256,256,256.000000,256.000000,True
257,257,257.000000,257.000000,True
258,258,258.000000,258.000000,True
259,259,259.000000,259.000000,True
260,260,260.000000,260.000000,True
261,261,261.000000,261.000000,True
262,262,262.000000,262.000000,True
263,263,263.000000,263.000000,True
264,264,264.000000,264.000000,True
265,265,265.000000,265.000000,True
266,266,266.000000,266.000000,True
267,267,267.000000,267.000000,True
268,268,268.000000,268.000000,True
269,269,269.000000,269.000000,True
270,270,270.000000,270.000000,True
271,271,271.000000,271.000000,True
272,272,272.000000,272.000000,True
273,273,273.000000,273.000000,True
274,274,274.000000,274.000000,True
275,275,275.000000,275.000000,True
276,276,276.000000,276.000000,True
277,277,277.000000,277.000000,True
278,278,278.000000,278.000000,True
279,279,279.000000,279.000000,True
280,280,280.000000,280.000000,True
281,281,281.000000,281.000000,True
282,282,282.000000,282.000000,True
283,283,283.000000,283.000000,True
284,284,284.000000,284.000000,True
285,285,285.000000,285.000000,True
286,286,286.000000,286.000000,True
287,287,287.000000,287.000000,True
288,288,288.000000,288.000000,True
289,289,289.000000,289.000000,True
290,290,290.000000,290.000000,True
291,291,291.000000,291.000000,True
292,292,292.000000,292.000000,True
293,293,293.000000,293.000000,True
294,294,294.000000,294.000000,True
295,295,295.000000,295.000000,True
296,296,296.000000,296.000000,True
297,297,297.000000,297.000000,True
298,298,298.000000,298.000000,True
299,299,299.000000,299.000000,True
300,300,300.000000,300.000000,True
301,301,301.000000,301.000000,True
302,302,302.000000,302.000000,True
303,303,303.000000,303.000000,True
304,304,304.000000,304.000000,True
305,305,305.000000,305.000000,True
306,306,306.000000,306.000000,True
307,307,307.000000,307.000000,True
308,308,308.000000,308.000000,True
309,309,309.000000,309.000000,True
310,310,310.000000,310.000000,True
311,311,311.000000,311.000000,True
312,312,312.000000,312.000000,True
313,313,313.000000,313.000000,True
314,314,314.000000,314.000000,True
315,315,315.000000,315.000000,True
316,316,316.000000,316.000000,True
317,317,317.000000,317.000000,True
318,318,318.000000,318.000000,True
319,319,319.000000,319.000000,True
320,320,320.000000,320.000000,True
321,321,321.000000,321.000000,True
322,322,322.000000,322.000000,True
323,323,323.000000,323.000000,True
324,324,324.000000,324.000000,True
325,325,325.000000,325.000000,True
326,326,326.000000,326.000000,True
327,327,327.000000,327.000000,True
328,328,328.000000,328.000000,True
